threshold_probability,calls_per_readmission_tolerated,net_benefit_model,net_benefit_call_everyone,net_benefit_call_nobody,net_true_positives_per_1000,advantage_over_best_alternative
0.24000000000000005,3.166666666666666,0.006095499711195754,-0.166463039711249,0.0,6.095499711195754,0.006095499711195754
0.24500000000000005,3.0816326530612232,0.005733954556400574,-0.1741879605040388,0.0,5.733954556400574,0.005733954556400574
0.25000000000000006,2.9999999999999996,0.0056137156728872685,-0.18201588024073237,0.0,5.613715672887269,0.0056137156728872685
0.25500000000000006,2.9215686274509793,0.004673514184653532,-0.1899488727255695,0.0,4.673514184653532,0.004673514184653532
0.26000000000000006,2.8461538461538454,0.004270087110323794,-0.1979890678115531,0.0,4.270087110323794,0.004270087110323794
0.26500000000000007,2.773584905660376,0.0039495897484063125,-0.20613865330686984,0.0,3.9495897484063125,0.0039495897484063125
0.2700000000000001,2.703703703703703,0.003248514474906627,-0.21439987695965654,0.0,3.248514474906627,0.003248514474906627
0.275,2.6363636363636362,0.003095478508659491,-0.22277504852489552,0.0,3.095478508659491,0.003095478508659491
0.28,2.571428571428571,0.0029276735391133802,-0.23126654191742954,0.0,2.92767353911338,0.0029276735391133802
0.28500000000000003,2.508771929824561,0.00279288809102191,-0.23987679745531362,0.0,2.79288809102191,0.00279288809102191
0.29000000000000004,2.4482758620689653,0.0028043647511936535,-0.24860832419795673,0.0,2.8043647511936536,0.0028043647511936535
0.29500000000000004,2.3898305084745757,0.002826047267693999,-0.2574637023837578,0.0,2.826047267693999,0.002826047267693999
0.30000000000000004,2.333333333333333,0.0028321448439791634,-0.26644558597221324,0.0,2.8321448439791634,0.0028321448439791634
0.30500000000000005,2.2786885245901636,0.00280449286451585,-0.2755567052957544,0.0,2.80449286451585,0.00280449286451585
0.31000000000000005,2.2258064516129026,0.0025235700563717017,-0.284799869826883,0.0,2.523570056371702,0.0025235700563717017
0.31500000000000006,2.174603174603174,0.0024319825641468612,-0.29417797106649535,0.0,2.4319825641468613,0.0024319825641468612
0.32000000000000006,2.1249999999999996,0.002406728128969687,-0.30369398555963134,0.0,2.4067281289696867,0.002406728128969687
0.32500000000000007,2.076923076923076,0.002328277804937896,-0.31335097804525824,0.0,2.328277804937896,0.002328277804937896
0.33000000000000007,2.03030303030303,0.002004844537742179,-0.32315210474708855,0.0,2.004844537742179,0.002004844537742179
0.3350000000000001,1.985074626865671,0.002072393850656073,-0.3331006168128561,0.0,2.072393850656073,0.002072393850656073
0.3400000000000001,1.9411764705882346,0.001976984225504935,-0.3431998639099233,0.0,1.9769842255049348,0.001976984225504935
0.3450000000000001,1.8985507246376805,0.00197547507724119,-0.35345329798557157,0.0,1.97547507724119,0.00197547507724119
0.3500000000000001,1.8571428571428563,0.0019918381320293004,-0.36386447720084514,0.0,1.9918381320293004,0.0019918381320293004
0.3550000000000001,1.8169014084507036,0.0019151477800163634,-0.37443707004736326,0.0,1.9151477800163634,0.0019151477800163634
0.36000000000000004,1.7777777777777772,0.0018807211854549128,-0.3851748596571083,0.0,1.8807211854549128,0.0018807211854549128
0.36500000000000005,1.7397260273972601,0.0019261929992023638,-0.39608174831582554,0.0,1.9261929992023639,0.0019261929992023638
0.37000000000000005,1.7027027027027022,0.001903349043388491,-0.40716176219134803,0.0,1.903349043388491,0.001903349043388491
0.37500000000000006,1.6666666666666665,0.0017599757244727658,-0.41841905628887877,0.0,1.7599757244727658,0.0017599757244727658
0.38000000000000006,1.6315789473684206,0.0016803624362318765,-0.42985791964604736,0.0,1.6803624362318765,0.0016803624362318765
0.38500000000000006,1.5974025974025972,0.0014275852059081962,-0.4414827807813809,0.0,1.4275852059081962,0.0014275852059081962
0.39000000000000007,1.5641025641025634,0.0011515951956343844,-0.4532982134107366,0.0,1.1515951956343844,0.0011515951956343844
0.3950000000000001,1.531645569620253,0.0011540070711668344,-0.4653089424471889,0.0,1.1540070711668344,0.0011540070711668344
